Title,Year,URL,Popularity,verses
Animal ,2003,/animal-lyrics-rem.html,1,"Hey what's the big deal?
Tell me how to feel?
I know where we boomeranged and fell from grace.
Point me to the stars I'm up for the chase.
I know where we fell on our face.
Jump with me.
You jump with me.
Hey, what's the big deal-
I'm an animal.
(The answer landed on my rooftop. Whoa.)
I'm an animal.
(The future and the truth, on my rooftop. Whoa.)
I'm an animal.
(It's calling me to work it out.) (Whoa)
I don't wanna boomerang.
I don't wanna cannonball.
I'm not angling.
I don't want to fall.
Tell me I'm the anchor of my own ascension.
Tell me I'm a tourist in the 4th dimension?
Hey, what's the big deal-
I'm an animal.
(The answer landed on my rooftop. Whoa.)
I'm an animal.
(The future and the truth, on my rooftop. Whoa.)
I'm an animal.
(It's calling me to work it out.) (Whoa)
work it out.
I am vibrating at the speed of light.
Take my hand, we'll wind up the night.
Spin me, win me, lift me, kiss me.
Trip me, trust me, cuss me, judge me.
touch me now.
you take my hand.
you trust me now
you understand.
So, what's the big deal-
I'm an animal.
(The answer landed on my rooftop. Whoa.)
I'm an animal.
(The future and the truth, on my rooftop. Whoa.)
I'm an animal.
(It's calling me to work it out.) (Whoa)
I am vibrating at the speed of light."
Arms Of Love ,2006,/arms-of-love-lyrics-rem.html,1,"Maybe tonight you're achin'
For someone you're dreamin' of
Tomorrow you'll be wakin'
Into the Arms, into the arms of Love
Maybe tonight you're cryin'
Like a poor wounded dove
Tell me you'll soon be flying
Into the Arms, into the arms of love
Maybe tonight you're takin'
You couldn't get enough
Honey you'll soon be wakin'
Into the Arms, into the arms of Love
Maybe the world is falling
It wasn't strong enough
Tell me you'll soon be crawling
Into the Arms, into the arms of Love
(repeat to end)"
Around The Sun ,2004,/around-the-sun-lyrics-rem.html,0,"I want the sun to shine on me
I want the truth to set me free
I wish the followers would lead
with a voice so strong it could knock me to my knees
hold on world 'cause you don't know what's coming
hold on world 'cause I'm not jumping off
hold onto this boy a little longer
take another trip around the sun
if I jumped into the ocean to believe
If I climbed a mountain would I have to reach?
do I even dare to speak?--to dream?--believe?
give me a voice so strong
I can question what I have seen
hold on world 'cause you don't know what's coming
hold on world 'cause I'm not jumping off
hold onto this boy a little longer
take another trip around the sun
around the sun
around the sun
around the sun
let my dreams set me free.
believe. believe.
now now now now now now"
At My Most Beautiful ,2003,/at-my-most-beautiful-lyrics-rem.html,0,"I've found a way to make you
I've found a way
A way to make you smile
I read bad poetry
Into your machine
I save your messages
Just to hear your voice.
You always listen carefully
To awkwards rhymes.
You always say your name.
Like I wouldn't know it's you
At your most beautiful.
I've found a way to make you
I've found a way
A way to make you smile
At my most beautiful
I count your eyelashes secretly.
With every one, whisper I love you.
I let you sleep.
I know you're closed eye watching me,
Listening.
I thought I saw a smile.
I've found a way to make you
I've found a way
A way to make you smile"
At My Most Beautifull ,2006,/at-my-most-beautifull-lyrics-rem.html,0,"I've found a way to make you
I've found a way
A way to make you smile
I read bad poetry
Into your machine
I save your messages
Just to hear your voice.
You always listen carefully
To awkwards rhymes.
You always say your name.
Like I wouldn't know it's you
At your most beautiful.
I've found a way to make you
I've found a way
A way to make you smile
At my most beautiful
I count your eyelashes secretly.
With every one, whisper I love you.
I let you sleep.
I know you're closed eye watching me,
Listening.
I thought I saw a smile.
I've found a way to make you
I've found a way
A way to make you smile"
Auctioneer ,2006,/auctioneer-lyrics-rem.html,0,"She didn't want to get pinned down by her prior town
Get me to the train on time, here take this nickel, make a dime
Take this penny and make it into a necklace when I leave
What is at the other end and I don't know
Another friend, another wife, another morning spent
Listen to the auctioneer
Another engine, another engine
We never wrote the reasons that I need explained
Some things are givens and others get away
This time it's for myself, you call it what you may
Okay, we won't say goodbye so long, so much more
Listen to the auctioneer
Another engine, another engine
Listen to the bargain holler
Listen to the barter holler
Listen to the auctioneer
Oh, get me to the train on time, here take this nickel, make a dime
Take this penny and make it into a necklace when I leave
What is at the other end and I don't know
Another friend, another wife, another morning spent
So listen to the auctioneer
Another engine, another engine
Another engine, another engine
Another
Do I stand the bargain holler?
Listen to the barter holler"
Auctioneer (another Engine) ,2006,/auctioneer-another-engine-lyrics-rem.html,0,"She didn't want to get pinned down by her prior town
Get me to the train on time, here, take this nickel, make a dime
Take this penny and make it into a necklace when I leave
What is at the other end I don't know, another friend
Another wife, another morning spent
Listening, listen to the auctioneer
Another engine, another engine
We never wrote the reasons that I need explained
Some things are givens and others get away
This time it's for myself, you call it what you may
Okay, we won't say goodbye so long, so much more
And listen to the auctioneer
Another engine, another engine
Listen to the bargain holler, listen to the barter holler
Listen to the auctioneer
Get me to the train on time, here, take this nickel, make a dime
Take this penny and make it into a necklace when I leave
What is at the other end of it, I don't know, another friend
Another wife, another morning spent
Listening, listen to the auctioneer
Another engine, another engine
Another engine, another engine
Another
Listen to the bargain holler listen to the barter holler"
ÃœBerlin ,2011,/aaberlin-lyrics-rem.html,0,
Baby Baby ,2006,/baby-baby-lyrics-rem.html,0,"Mmmm... You're so pretty
Not to talk to you would be a crime
Let me put my arms around you
Just wanna use up a little of your time
And I'm going...
Baby baby baby
Baby baby baby
Baby baby baby
Won't you be my girl?
You're eyes, they're so pretty
The clothes you wear, so fine
Won't you come around to my place
Just wanna use up a little of your time
And I'm going...
Baby baby baby
Baby baby baby
Baby baby baby
Won't you be my girl?
Come on, come on, come on
Baby baby baby
Won't you be my girl?
Baby baby baby
Won't you be my girl?
Baby baby baby
Won't you be my girl?
Baby baby baby
Won't you be my girl?
Baby baby baby
Won't you be my girl?
Baby baby baby
Won't you be my girl?"
"Baby, I ",2006,/baby-i-lyrics-rem.html,0,"Baby I, don't want to be seen with you
Baby, I got better things to do
Baby, I don't wanna hang around with you
Baby, I got better things to do
Cause I know you're out with other guys
Well I know you're goin' to tell me lies
Baby, I should have held you when I had the chance
Baby I could have blew it when I never learned how to dance
Well I know you're out with other guys
And I know you're gonna tell me lies
I wait at home every night

I never leave on my back porch light
I'm hoping you won't come back
Cause if you do I'll wanna die
Baby, I don't wanna hang around with you
Baby, I got better things to do
Well, I know you're out with other guys
Well, I you're gonna tell me lies
Baby, I should have held you when I had the chance
Baby I blew it when I never learned how to dance
Well, I know you're out with other guys
And I know you're gonna tell me lies
Baby, I..."
Bad Day ,2003,/bad-day-lyrics-rem.html,3,"A public service announcement followed me home
The other day, I paid it never mind, go away
Shits so thick you can stir it with a stick-free Teflon whitewashed Presidency
we're sick of being jerked around, wear that on your sleeve
Broadcast me a joyful noise unto the times, Lord
Count your blessings
We're sick of being jerked around
We all fall down
Have you ever seen the televised St. Vitus subcommittee prize
Investigation dance? Those ants in pants glances
Well, look behind the eyes, it's a hallowed hollow anesthetized
Save my own ass, screw these guys, smoke and mirror lock down
Broadcast me a joyful noise unto the times, Lord
Count your blessings
The papers wouldn't lie
I sigh, not one more
It's been a bad day, please don't take a picture
It's been a bad day, please
It's been a bad day, please don't take a picture
It's been a bad day, please
We're dug in deep the price is steep
The auctioneer is such a creep
The lights went out, the oil ran dry
We blamed it on the other guy
Sure, all men are created equal
Here's the church, here's the steeple
Please stay tuned, we cut to sequel
Ashes, ashes, we all fall down
Broadcast me a joyful noise unto the times, Lord
Count your blessings
Ignore the lower fear
Oh, this means war
It's been a bad day, please don't take a picture
It's been a bad day, please
It's been a bad day, please don't take a picture
It's been a bad day, please
Broadcast me a joyful noise unto the times, Lord
Count your blessings
We're sick of being jerked around
We all fall down
It's been a bad day, please don't take a picture
It's been a bad day, please
It's been a bad day, please don't take a picture
It's been a bad day, please
It's been a bad day, please don't take a picture
It's been a bad day, please
It's been a bad day, please don't take a picture
It's been a bad day, please"
Bandwagon ,2006,/bandwagon-lyrics-rem.html,0,"Come on aboard, I promise you you won't hurt the horse
We treat him well, we feed him well.
There's lots of room for you on the bandwagon
The road may be rough, the weather may forget us
But won't we all parade around and sing our songs
A magic kingdom, open-armed
Greet us hello, bravo, name in lights
Passing on the word to fellow passengers and players, passing in
Until you're tired looking at all the flags
And all the banners waving
This is some parade, yesiree Bob
Could we have known?
Yesiree Bob, could we have known?
Look at all the flags and all the banners waving
Open up our arms, a magic kingdom, open-armed and greet us all
Come on aboard I promise you, you won't hurt the horse
We treat him well, we feed him well
There's lots of room for you on the bandwagon
The road may be rough, the weather may forget us
But won't we all parade around
And sing our songs and wave our flags
A magic kingdom, greet us all hello
Greet us hello, greet us hello"
Bang And Blame ,2006,/bang-and-blame-lyrics-rem.html,2,"If you could see yourself now, baby
It's not my fault
You used to be so in control
You're going to roll right over this one
Just roll me over, let me go
You're laying blame
Take this as no, no, no
You bang, bang, bang, bang, bang,
Blame, blame, blame
You bang, bang, bang, bang, bang,
It's not my thing so let it go
If you could see yourself now baby,
The tables have turned
The whole world hinges on your swings
Your secret life of indiscreet discretions
I'd turn the screw and leave the screen,
Don't point your finger,
You know that's not my thing
You came to bang, bang, bang, bang, bang,
Blame, blame, blame
You bang, bang, bang, bang, bang,
It's not my thing so let it go, now
You've got a little worry,
I know it all too well,
I've got your number,
But so does every kiss-and-tell
Who dares to cross your threshold,
Or happens on your way,
Stop laying blame
You know that's not my thing
You know that's not my thing,
You came to bang, bang, bang, bang, bang,
Blame, blame, blame
You bang, bang, bang, bang, bang,
It's not my thing so let it go
You bang, bang, bang, bang, bang,
Blame, blame, blame
You bang, bang, bang, bang, bang,
It's not my thing so let it go
You kiss on me, tug on me, 
rub on me, jump on me,
You bang on me, beat on me, 
hit on me, let go on me,
You let go on me"
Be Mine ,2006,/be-mine-lyrics-rem.html,0,"I never thought of this as funny
It speaks another world to me
I wanna be your Easter Bunny
I wanna be your Christmas tree
I'll strip the world that you must live in
Of all it's God forsaken greed
I'll ply the tar out of your feathers
I'll pluck the thorns out of your feet
You and me
You and me
You and me
And if I choose your sanctuary
I'll want to wash you with my hair
I'll want to drink of sacred fountains
And find the riches hidden there
I'll eat the lotus and peyote
I'll want to hear the caged bird sing
I'll want the secrets of the temple
I'll want the finger with the ring
You and me
You and me
You and me
And if you make me your religion
I'll give you all you will need
I'll be the drawing of your breath
I'll be the cup if you should bleed
I'll be the sky above the Ganges
I'll be the vast and stormy sea
I'll be the lights that guide you inland
I'll be the visions you will see
Visions you will see, you will see, you will see
You and me
You and me
You and me
You and me
You and me
You and me"
Beach Ball ,2006,/beach-ball-lyrics-rem.html,0,
Beat A Drum ,2014,/beat-a-drum-lyrics-rem.html,2,"The sun reflected in the back of my eye
I knocked my head against the sky.
The dragonflies are busy buzzing me
Seahorses if we were in the sea.
Halfway from coal, halfway to diamond.
My fall knocked a mean chip out of me.
I'm gathering as far as I can reach
We're perched upon the precipice
And this is what I've seen.
This is all I want it's all I need
This is all I am it's everything
This is all I want it's all I need.
A bluejay hectors from the felled Catalpa tree
A doctorate in science and a theologian's dream.
The dragonflies are trying to lecture me
Seahorses if we were in the sea.
This is all I want it's all I need
This is all I am it's everything
This is all I want it's all I need.
Beat a drum for me, like a butterfly wing
Tropical storm across the ocean.
Don't explain, I'm sure I'll want to know.
Don't forget, we're just halfway from coal.
This is all I want it's all I need
This is all I am it's everything
This is all I want it's all I need."
Begin The Begin ,2011,/begin-the-begin-lyrics-rem.html,2,"Birdie in the hand for life's rich demand
The insurgency began and you missed it
I looked for it and I found it
Miles Standish proud, congratulate me
A philanderer's tie, a murderer's shoe
Life's rich demand creates supply in the hand
Of the power, the only vote that matters
Silence means security, silence means approval
Watchin' Zenith on the TV, tiger run around the tree
Follow the leader, run and turn into butter
Let's begin again, begin the begin
Let's begin again like Martin Luthers in
The mythology begins the begin
Answer me a question, I can't itemize
I can't think clearly, look to me for reason
It's not there, I can't even rhyme, begin the begin
A philanderer's tie, a murderer's shoe
Example, the finest example is you
Birdie in the hand for life's rich demand
The insurgency began and you missed it
I looked for it and I found it
Miles Standish proud, congratulate me
A philanderer's tie, a murderer's shoe
Let's begin again, begin the begin
Let's begin again"
Belong ,2014,/belong-lyrics-rem.html,0,"Her world collapsed early Sunday morning
She got up from the kitchen table
Folded the newspaper and silenced the radio
Those creatures jumped the barricades
And have headed for the sea, sea
Woah
Woah
Those creatures jumped the barricades and have headed for the sea
She began to breathe to breathe
At the thought of such freedom
Stood and whispered to her child, [""Belong.""]
She held the child and whispered
With calm, calm; belong
Woah
Woah
Woah
Woah
Stood and whispered to her child, [""Belong.""]
She held the child and whispered
With calm, calm; [""Belong.""]
Woah
Woah
Woah
Woah
These barricades can only hold for so long
Her world collapsed early Sunday morning
She took the child held tight
Opened the window
A breath, this song, how long
and knew, knew; [""Belong.""]
Woah
Woah
Woah
Woah"
Binky The Doormat ,2006,/binky-the-doormat-lyrics-rem.html,0,"This is horror movie stuff.
the muffin is peach, you're 'makin' love'.
you mean this opera involves handcuffs?
I lay defeated.
yeah, sour milk mouth, horseradish sweet.
she's a girl and she's loving me.
but distance is my tendency.
I am defeated.
have you lost your place? (go away, go away)
I wore my doormat face. (go away, go away, go away, go, go, go)
I hung my this or that. (go away, go away, go away, go away)
I laid my welcome mat. (go away, go away)
If I'm your oyster, where's the war?
you leave me gasping, tattered and torn.
I know you can't find a fork.
I am just a little acorn.
well, acorns grow to mighty trees.
you've got sauce, but you don't have knees.
now look who's asking pretty please.
I lay defeated.
have you lost your place? (go away, go away)
I wore my doormat face. (go away, go away, go away, go, go, go)
I hung my this or that. (go away, go away, go away, go away)
I laid my welcome mat. (go away, go away)
Call your bathroom friends around.
I will fake a little frown.
I will be your little clown,
easily defeated.
yeah, shut the door and open wide.
seconal and astroglide.
fuck with me and traumatize.
don't you see i love your hide?
all the beauty that's trapped inside.
can't you see i love your hide?
can't you see i love your hide?
can't you see it?
have you lost your place? (go away, go away)
I wore my doormat face. (go away, go away, go away, go, go, go)
I hung my this or that. (go away, go away, go away, go away)
I laid my welcome mat. (go away, go away, go away, go, go, go)
go away, go away, go away, go away,
go away, go away"
Bittersweet Me ,2006,/bittersweet-me-lyrics-rem.html,2,"I move across, innocence lost
All flashing pulsar
I move across the earth in my new pattern shirt
I pass satellites
""You're so bitter,"" your complaint
I can't give you anything
I don't know who you're livin' for
I don't who you are anymore
I'd sooner chew my leg off
Than be trapped in this
How easy you think of all of this as bittersweet me
I couldn't taste it
I'm tired and naked
I don't know what I'm hungry for
I don't know what I want anymore
I move across, candy floss
I move like a tank
I move across the room with a heart full of gloom
I'm stronger than you think
Oh, my peer, your veneer
Is wearing thin and cracking
The surface informs that underneath
The underneath is lacking
I'd sooner chew my leg off
Than be trapped in this
How easy you think of all of this as bittersweet me
I couldn't taste it
I'm tired and naked
I don't know what I'm hungry for
I don't know what I want anymore
You move across, innocence lost
All static and desire
You're blue in the face from navel gaze
You set yourself on fire
You strip down and lay yourself out
I know you can't fake it
But are you tired and naked?
Are you tired and naked?
Yeah, I'd sooner chew my leg off
Than be trapped in this
How easy you think of all of this as bittersweet me
I couldn't taste it
I'm tired and naked
I don't know what I'm hungry for
I don't know what I want anymore
I couldn't taste it
I'm tired and naked
I don't know what I'm hungry for
I don't know what I want anymore
I couldn't taste it
I'm tired and naked
I don't know what I'm hungry for
I don't know what I want anymore"
Blue ,2011,/blue-lyrics-rem.html,0,"Feels circus left the stakes a broken ropes useless mud
The ties that bind, ha ha
I can be bad poet
Street poet
Shit poet
Kind poet too
Subway
Almost 4AM
Halloween night
I've had enough to drink to make my own party
All my fellow riders in half costume, half asleep
Half silly, gone to seed
I don't mark my time with dates, holidays, faded wisdom, locked karma, whatever's
Convenient
I am made by my times
I am a creation of now
Shaken with the cracks and crevices
I'm not giving up easy
I will not fold
I don't have much
But what I have is gold
(I saw your face
You drift in snow
And I drift in snow)
I sing in platinum
I dress in brass
I eat in zinc
Let it pass
Compare a toast
I like that
I understand courage
I still roll with the shout of a character I was married to today
I try to see outside myself
I understand the eyes
Excuse all the highs
Sorry
I am sorry
Ha ha
(What have we learned
I like your face)
I like you, love you, every coast of you.
I've seen your eddies and tides and hurricanes and cyclones.
Low ebb tide and high, full moon.
Up close and distant.
I read you like the sky, the sea, the ocean, the sun, the moon.
Blue, blue, blue, blue, blue, blue, blue blue, blue, blue, blue, blue.
Naked and blue.
(Naked and blue
Breathing with you)
Breathing with you. Touch. Change. Shift. Allow air. Window open. Drift. Drift away. Into now.
I want Whitman proud. Patti Lee proud. My brothers proud. My sisters proud. I want me. I want it all. I want sensational. Irresistible.
This is my time and I am thrilled to be alive.
Living
Blessed
I understand
Twentieth century
Collapse Into Now
PATTI: Cinderella boy
You've lost your shoe
Cinderella boy (Blue, blue, blue, blue...)
Your coach awaits (Blue, blue, blue, blue...)
I saw its shadow (Blue, blue, blue, blue...)
All over your face (Blue, blue, blue, blue...)
As you sit (Blue, blue, blue, blue...)
Naked and blue (Blue, blue, blue, blue...)
Into me
...
Discoverer!
Discoverer!
Discoverer!
Discoverer!
Discoverer!"
Body Count ,2006,/body-count-lyrics-rem.html,0,"All the young kids learn to dance in the combat zone
Never dared to take a chance
Goin' home alone
But it gets so very cold
When it's late at night
Leave the foxholes on their own
Do you sleep well at night?
Bodycount... feeling hot
Bodycount... keeping warm
Friends are playing with danger
They don't know where it's found
With their casual letters
It's just another chain
You've lost the innocence
That you've never found
Standing in the DMZ
Don't get turned around
Body count... feeling hot
Body count... Vietnam
It's not the game.well, it's a scar
And they won't let you wear your khakis
And your Izods anymore
You can go get shot to hell
They don't want you anymore because.
All the young kids learn to dance
In the combat zone
Never dare to take a chance
You're going home alone
Military metaphors
Are metaphors no more
Keeping up with protocol

You're dancin' off to war
Body count feeling hot
Body count Vietnam
Do you sleep well at night?
Body Count... Vietnam
They can say what they want
But you have your doubts
It's not what you've lost
It's what your without
When I ran so far
And they just turned away
I doesn't bother me by the light of day
But at night... I hear your call
Late at night... I hear your call
I saw the mirror that you broke today
I saw the ceiling falling down your way
When they looked at you, you could turn away
You didn't bother then by the light of day... you'll stay
But at night... I hear your call
Late at night... I hear your call
You said that you could turn away
I knew that you going to stay
The walls are falling all around
They pinned you down onto the ground
But at night... I hear your call
Vietnam... I hear you call"
Burning Down ,2006,/burning-down-lyrics-rem.html,0,"From the back of my neck, oh oh oh
Wired a glass jaw, oh oh
Plantation burning your boat is coming in
Strum your jew's harp, you're reeking gin
Running water on a sinking boat
Going under but they've got your goat
Burning down
My hands are tied my feet are bound
Burning down
Can't you see that my hands are bound
Johnny Mike is reading in the yard
His story's timely, oh oh oh
What river is it anyway, radio
Not in a boat, in your ear
Running water in a sinking boat
Going under but they've got your goat
Burning down
My hands are tied my feet are bound
Burning down
Can't you see that my hands are bound
You pick your island in the sun
Take your island off he's got a gun
Burning down
My hands are tied my feet are bound
Burning down
Can't you see that my hands are bound
He's cooking in the woods, a brush fire in your neck
Feeling mighty mighty, oh oh oh
You can pick your island in the sun
Take your island off he's got a gun
Running water in a sinking boat
Going under but they've got your goat
Burning down
My hands are tied my feet are bound
Burning down
Can't you see that my hands are bound"
Burning Hell ,2006,/burning-hell-lyrics-rem.html,0,"Women got legs, men got pants
I got the picnic, you got the ants
Put it in the fire heaven knows
Take my torch and touch your toes in hell
It's a burning hell
You can burn in Hell
It's a burning hell
You can burn in Hell
It's a burning hell
Women don't fret, boys don't bet
Let me see your silhouette in Hell
Women above me take my love
Love, love, love, love, love, love, love
Oh, it's a burning hell
It's a burning hell
Baby, baby, baby, I'm hell
It's a burning hell
Girl stop moving, boy behave
Baby, I'll put you in an early grave in Hell
Love on the ceiling, love on the floor
I'm gonna leave you burning for more
Burn in the country, burn downtown
All the best people are burning down in Hell, Hell, Ah hell
It's a burning hell
You'll burn in Hell
It's a big, burning, giant, colossal matter
Hell
Oh baby, I'm hell
Burn, Burn, Burn!"
Camera ,2006,/camera-lyrics-rem.html,1,"From the inside room when the front room greeting
Becomes your special book, it was simple then
When the party lulls, if we fall by the side
Will you be remembered, will she be remembered
Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face
I fell by your bed once, I didn't want to tell you
I should keep myself in between the pages
Of the green light room, if we fall by the side
Will you be remembered, will she be remembered
Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face
From the inside room when the front room greeting
Becomes your special book, it was simple then
When the party lulls, if we fall by the side
I still like you, can you remember
Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face
Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face"
Can't Get There From Here ,2006,/cant-get-there-from-here-lyrics-rem.html,0,"When the world is a monster.
Bad to swallow you whole.
Kick the clay that holds the teeth in
Throw your trolls out the door
If you're needing inspiration
Philomath is where I go by dawn
Lawyer Jeff he knows the lowdown
He's mighty bad to visit home
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way
When your hands are feeling empty
Stick head jumpin' off the ground, 'round
Tris is sure to shirr the deers out
Brother Ray can sing my song
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Hands down, Calechee bound
Landlocked kiss the ground
Dirt of seven continents going round and round
Go on ahead Mr. Citywide hypnotized, suit and tied
Gentlemen, testify
If your world is a monster
Bad to swallow you whole
Philomath they know the lowdown
Throw your trolls out the door
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way Can't get there from here
I've been there I know the way. Thank you, Ray."
Carnival of Sorts ,2006,/carnival-of-sorts-lyrics-rem.html,0,"There's a secret, stigma, reaping wheel
Diminish, a carnival of sorts
Chronic town, poster torn, reaping wheel
Stranger, stranger to these parts
Gentlemen don't get caught, cages under cage
Gentlemen don't get caught
Box cars are pulling out of town
Box cars are pulling out of town
Box cars are pulling out of town
There's a secret, stigma, reaping wheel
Diminish, a carnival of sorts
Chronic town, poster torn, reaping wheel
Stranger, stranger
Gentlemen don't get caught, cages under cage
Gentlemen don't get caught
Box cars are pulling out of town
Box cars are pulling out of town
Box cars are pulling out of town
Cages under, cages under, cages under cage
Cages under, cages under, cages under cage
Gentlemen don't get caught, cages under cage
Gentlemen don't get caught
Box cars are pulling out of town
Box cars are pulling out of town
Box cars are pulling out of town
There's a secret, stigma, reaping wheel
Stranger, stranger to these parts
Chronic town, poster torn, reaping wheel
Diminish, stranger
Gentlemen don't get caught, cages under cage
Gentlemen don't get caught
Box cars are pulling out of town
Box cars are pulling out of town
Box cars are pulling out of town
Boxcars are pulling, carnival of sorts
Out of town, out of town"
Carnival Of Sorts (box Cars) ,2006,/carnival-of-sorts-box-cars-lyrics-rem.html,0,"There's a secret stigma, reaping wheel.
Diminish, a carnival of sorts.
Chronic town, poster torn, reaping wheel.
Stranger, stranger to these parts.
Gentlemen don't get caught, cages under cage. Gentlemen don't get caught,
Boxcars (are pulling) out of town. Boxcars (are pulling) out of town.
Boxcars (are pulling) out of town.
[repeat 1st verse and chorus]
Cages under, cages under, cages under cage.
Cages under, cages under, cages under cage.
[repeat chorus]
There's a secret stigma, reaping wheel.
Stranger, stranger to these parts.
Chronic town, poster torn, reaping wheel.
Diminish, stranger.
[repeat chorus]"
Catapult ,2006,/catapult-lyrics-rem.html,1,"We were little boys, we were little girls
It's nine o'clock, don't try to turn it off
Cowered in a hole, ope your mouth
Did we miss anything, did we miss anything
Did we miss anything, did we miss anything
Catapult (catapult), catapult
Catapult (catapult), catapult
We were little boys, we were little girls
It's nine o'clock, don't try to turn it off
Cowered in a hole, ope your mouth
We in step, in hand, your mother remembers this
Hear the howl of the rope, a question
Did we miss anything, did we miss anything
Did we miss anything, did we miss anything
Catapult (catapult), catapult
Catapult (catapult), catapult
March could be darker, March could be darker
Catapult (catapult), catapult
Catapult (catapult), catapult
We were little boys, we were little girls
It's nine o'clock, don't try to turn it off
Cowered in a hole, open your mouth
We in step, in hand, your mother remembers this
Hear the howl of the rope, a question
Did we miss anything, did we miss anything
Did we miss anything, did we miss anything
Catapult (catapult), catapult
Catapult (catapult), catapult"
Chance ,2006,/chance-lyrics-rem.html,0,"Chance, chance, chance, chance
Friday bank card yours got stuck
I loaned you a phone quarter, said ""Good luck""
Where are you now?
Me and glasses Saturday slump
You and your shopping, I looked up
Our eyes met, mine are green
You'd had a peroxide thing
Call now, look me up
Sunday walk, Weaver's Park,
I was on the lakeside
Where the playgrounds meet
In bare feet
You said, ""Mighty cold today""
You never see what I think
You didn't like your daytime job
I was born to travel
You were a camera, I dropped my keys
I'm on the northbound, you were asleep
I said, ""Are you holding?""
""You wanna ride the silent sky?""
I wrote a story on the fly
You in the tabletop
I said, ""I've had enough of the city.""
I held a bag of apples
You at the last table
I had had a soy dog
Cafe streetside, Tuesday bloom
You wanna be on fire, I said I hung the moon
Wednesday grocery, corner of Vine,
You were in the checkout line
I dropped my frozen dinners, you helped pick them up
Thursday cab rush, our block,
You with broken accent, my heart stopped
You laughed, I worry
Chance, chance, chance, chance
Swarming like a dozen crushing blows
All those glances, midtime dances
Chance
I never looked it up
You hit the sidewalk talking
Said, ""I'd read the ads""
Do you?
Where are you? Will you read this? Can I see?
This is surely moving faster than I can think
A minute shy, a passing eye
I know I saw you there
Will you read this? Can I see? What did I see?
Chance, chance, chance, chance
Swimming like a dozen crushing blows
All those midtime dances
Chance
Guys, this is very tedious... stop!"
Chorus and he Ring ,2016,/chorus-and-he-ring-lyrics-rem.html,0,"Hey there now young wholly, swing along
Quote the scriptures, keep them guessing
Which pit you crawled from.
Just defy it, just deny it, was it fun?
Your time is come -
What have you done? What have you done?
That's when the insults start to sting
You can't remember anything
The chorus chime in, the Greek chorus,
The machine of God singing.
It's the poison that in measures brings illuminating vision
It's the knowing with a wink that we expect in Southern women
It's the wolf that knows which root to dig to save itself
It's the octopus that crawled back to the sea.
That's when the insults start to sting
You can't remember anything
The chorus chime in, the Greek chorus,
The machine of God ring!
Hammered, shooting plywood in the backyard
Laughing 'cause the racket makes the blackbirds sing.
Write the holy terror, suck the marrow from the bone -
Singe your own wings burning books,
You got the chorus and the ring.
That's when the insults start to sting
You can't remember anything
The chorus chime in the Greek chorus,
The machine sings.
That's when the insults start to sting
You can't remember anything
The chorus chime in the Greek chorus,
The machine sings.
That's when the calibration brittle as a stick
Gets you the gold ring
And the tar museum Che Guevera wink,
Gold ring.
Gold ring.
Sing... (x4)"
Chorus And The Ring ,2006,/chorus-and-the-ring-lyrics-rem.html,0,"Hey there now young wholly, swing along
Quote the scriptures, keep them guessing
Which pit you crawled from.
Just defy it, just deny it, was it fun?
Your time is come -
What have you done? What have you done?
That's when the insults start to sting
You can't remember anything
The chorus chime in, the Greek chorus,
The machine of God singing.
It's the poison that in measures brings illuminating vision
It's the knowing with a wink that we expect in Southern women
It's the wolf that knows which root to dig to save itself
It's the octopus that crawled back to the sea.
That's when the insults start to sting
You can't remember anything
The chorus chime in, the Greek chorus,
The machine of God ring!
Hammered, shooting plywood in the backyard
Laughing 'cause the racket makes the blackbirds sing.
Write the holy terror, suck the marrow from the bone -
Singe your own wings burning books,
You got the chorus and the ring.
That's when the insults start to sting
You can't remember anything
The chorus chime in the Greek chorus,
The machine sings.
That's when the insults start to sting
You can't remember anything
The chorus chime in the Greek chorus,
The machine sings.
That's when the calibration brittle as a stick
Gets you the gold ring
And the tar museum Che Guevera wink,
Gold ring.
Gold ring.
Sing... (x4)"
